Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,7,2182786,"NEW YORK, NY",SMB,543888,472098,87,51,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,477304,476823,100,55,256,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,351806,256104,73,59,1,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,321473,244440,76,60,2,10,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,14,491224,"RALEIGH, NC",SNM,219685,219601,100,62,543,0,N
MORGAN STANLEY BK NA,MORGAN STANLEY,17,1456501,"SALT LAKE CITY, UT",NAT,211521,211521,100,65,0,0,N
MANUFACTURERS & TRADERS TC,M&T BK CORP,18,501105,"BUFFALO, NY",SMB,208378,208378,100,66,989,1,Y
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,19,2489805,"PURCHASE, NY",NAT,207569,207569,100,67,0,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,21,1394676,"SANDY, UT",NAT,192276,192276,100,69,0,0,N
KEYBANK NA,KEYCORP,22,280110,"CLEVELAND, OH",NAT,184963,184960,100,70,955,0,N
ALLY BK,ALLY FNCL,23,3284070,"SANDY, UT",SMB,181969,181969,100,70,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,159048,159048,100,71,20,3,Y
NORTHERN TC,NORTHERN TR CORP,25,210434,"CHICAGO, IL",SMB,156265,111454,71,72,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,148660,148660,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,28,694904,"HICKSVILLE, NY",NAT,118994,118994,100,74,419,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,29,722777,"WILMINGTON, DE",NAT,100562,100556,100,74,403,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,92245,92245,100,75,64,0,N
ZIONS BC NA,,31,276579,"SALT LAKE CITY, UT",NAT,87606,87606,100,75,430,0,N
FIRST HORIZON BK,FIRST HORIZON CORP,32,485559,"MEMPHIS, TN",SMB,81935,81935,100,75,419,0,N
WESTERN ALLI BK,WESTERN ALLI BC,33,3138146,"PHOENIX, AZ",SMB,80470,80470,100,76,37,0,N
COMERICA BK,COMERICA,34,60143,"DALLAS, TX",SMB,79611,79270,100,76,381,1,N
WEBSTER BK NA,WEBSTER FNCL CORP,35,761806,"STAMFORD, CT",NAT,76761,76761,100,76,196,0,N
EAST WEST BK,EAST WEST BC,36,197478,"PASADENA, CA",SMB,72335,68916,95,77,98,1,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,62050,62050,100,77,229,0,N
SYNOVUS BK,SYNOVUS FC,38,395238,"COLUMBUS, GA",SMB,59480,59480,100,77,246,0,N
CIBC BK USA,CIBC BC USA,39,1842065,"CHICAGO, IL",SNM,55874,55874,100,78,18,0,N
OLD NB,OLD NAT BC,40,208244,"EVANSVILLE, IN",NAT,52825,52825,100,78,285,0,Y
UMPQUA BK,COLUMBIA BKG SYS,41,143662,"LAKE OSWEGO, OR",SNM,52043,52043,100,78,296,0,N
BOKF NA,BOK FC,42,339858,"TULSA, OK",NAT,50195,50195,100,78,110,0,N
PINNACLE BK,PINNACLE FNCL PTNR,43,2925666,"NASHVILLE, TN",SNM,49227,49227,100,78,136,0,N
FROST BK,CULLEN/FROST BKR,44,682563,"SAN ANTONIO, TX",SMB,48915,48915,100,79,202,0,N
CADENCE BK,,45,606046,"TUPELO, MS",SNM,47984,47984,100,79,367,0,N
FIRST NB OF PA,FNB CORP,46,379920,"GREENVILLE, PA",NAT,47578,47578,100,79,343,0,N
SOUTHSTATE BK NA,SOUTHSTATE CORP,47,1929247,"WINTER HAVEN, FL",NAT,45481,45481,100,79,250,0,N
UMB BK NA,UMB FC,48,936855,"KANSAS CITY, MO",NAT,44202,44202,100,80,90,0,N
